Player,Tm,Pos,Type,Class,Details
Leonard Fournette,JAX,RB,Hamstring,out,Fournette is sidelined with a hamstring injury and is likely to be held out of action until Week 10 against the Colts.
Calais Campbell,JAX,DL,Ankle,questionable,Campbell is bothered by an ankle injury and it is uncertain if he will take the field Sunday against the Cowboys.
Brandon Linder,JAX,OL,Knee,questionable,Linder is tending to a knee injury and it is unknown if he will suit up against the Cowboys on Sunday.
D.J. Hayden,JAX,CB,Toe,out,Hayden has missed the previous three games with a toe injury and will not play against the Cowboys on Sunday.
Andrew Norwell,JAX,OL,Foot,questionable,Norwell has a left foot injury and it is unclear if he will line up against the Cowboys on Sunday.
Tre Herndon,JAX,CB,Hamstring,questionable,Herndon is nursing a hamstring injury and may not participate Sunday against the Cowboys.
Corey Grant,JAX,RB,Foot,I-R,Grant has been placed on the injured reserve list due to a Lisfranc injury in his foot.
Josh Wells,JAX,OL,Groin,out,Wells sustained a groin injury and will miss an undetermined length of time.
Austin Seferian-Jenkins,JAX,TE,Abdominal,I-R,Seferian-Jenkins has landed on injured reserve due to a core-muscle injury. He can be designated for return against the Titans in Week 14.
Marqise Lee,JAX,WR,Knee,I-R,Lee has landed on injured reserve due to ligament damage in his knee.
Step Durham,KAN,DB,Undisclosed,I-R,Durham has reverted to the injured reserve list with an unspecified injury after clearing waivers.
Tejan Koroma,KAN,OL,Knee,I-R,Koroma is on injured reserve with an unspecified injury.
J.D. Moore,KAN,RB,Undisclosed,I-R,Moore is on injured reserve with an unspecified injury.
Dillon Gordon,KAN,OL,Shoulder,I-R,Gordon is on injured reserve with a shoulder injury.
Daniel Sorensen,KAN,DB,Knee,I-R,Sorensen had surgery to repair a tibia fracture and is also recovering from a torn MCL. He is expected to be sidelined for at least the first eight weeks of the season.
Byron Pringle,KAN,WR,Hamstring,I-R,Pringle sustained a hamstring injury and is on the injured reserve list.
Dee Ford,KAN,LB,Groin,probable,Ford is battling injuries to his groin and hand. He is expected to be in Sunday's lineup against the Patriots.
Chris Conley,KAN,WR,Toe,probable,Conley is tending to a toe injury but is likely to be available for Sunday's game against the Patriots.
De'Anthony Thomas,KAN,WR,Leg,questionable,Thomas hurt his lower-leg and it is unknown if he will be active for Sunday's clash against the Patriots.
